Timestamp, Latitude, Longitude, Course, Heart Rate, Speed, Slope,Altitude, KiloCalories, Wind Direction, Wind Speed, Pressure, Temperature

2021/09/08 14:13:11,48.10171660045735,11.29361623190502,-1,-1,-1,0.005561357278747219,559.6211624145508, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:14,48.10170189539529,11.29361634541278,-1,-1,-1,0.005561357278747219,559.630256652832, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:14,48.10169696945056,11.29360862916582,-1,-1,-1,0.005227385487865407,559.634407043457, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:21,48.10181495716508,11.29381029764965,-1,-1,-1,0.007993344852008078,559.793830871582, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:22,48.10185813251208,11.29383970315937,-1,-1,-1,0.01347277308115238,559.8649291992188, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:27,48.10177226385269,11.29395154612136,-1,-1,1.947863936424255,-4.261694852787288,505.8611595153809, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:28,48.10181968106405,11.29393509672804,-1,-1,1.970746755599976,-0.00192802220765267,505.8507225036622, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:29,48.10185082426448,11.29399307635441,-1,-1,2.162639141082764,-0.000942706264298929,505.8455039978028, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:30,48.10184627227066,11.29401009982215,-1,74,1.970746755599976,-0.002293368435015526,505.8423728942871, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:31,48.10185295695304,11.29402634131012,-1,74,-1,38.83519616904703,560.9834678649902, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:32,48.1018663263178,11.29405882429029,-1,74,-1,1.941750402731191,566.4975773620606, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:33,48.10191806554258,11.2940020780751,-1,74,0.867104172706604,-8.496406024327191,505.8402305603028, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:34,48.10189743206161,11.29398022665496,-1,74,0.9056202173233032,-0.0006053360371068366,505.8385276794434, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:35,48.10187435575223,11.29402325410335,-1,74,0.867104172706604,-0.0003077310236066493,505.837264251709, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:36,48.10185480419717,11.29402788284284,-1,74,0.9056202173233032,-0.0004242169814551206,505.8363304138184, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:37,48.10180577320973,11.29407540324327,-1,74,0.416680246591568,-0.0001183061116723589,505.8355613708496, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:38,48.1017450760592,11.29412074613326,-1,74,1.15610945224762,-8.006031650920956e-05,505.8349571228027, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:39,48.10171111584769,11.2941076426172,-1,74,1.15610945224762,-0.0001267491065494302,505.8344627380371, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:40,48.10169698545093,11.29406336892348,-1,74,1.15610945224762,-0.0001203017306484048,505.8340232849122, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:41,48.10166549322045,11.29397873713773,-1,74,0.552293598651886,-4.570542979555671e-05,505.8336936950684, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:42,48.10166737217755,11.29392083400633,-1,74,0.552293598651886,-7.633037377116756e-05,505.8333641052246, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:13:43,48.10169937570445,11.29390745619615,-1,75,0.3590027093887329,-7.431845339890711e-05,505.8330894470215, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:14:57,48.10176183269759,11.29383192653499,-1,75,0.01531649380922318,6.854682770006989,567.1000022888184, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:14:58,48.10176141862481,11.29383863262107,-1,75,0.2579230070114136,0,567.1000022888184, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:14:59,48.10176164421345,11.29385019381264,-1,77,0.241719976067543,0,567.1000022888184, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:15:00,48.10176447889222,11.29384984493514,-1,77,0.1892492473125458,0,567.1000022888184, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:15:01,48.10176616579735,11.29385123707538,-1,77,0.06799285113811493,0,567.1000022888184, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:15:07,48.1017681848516,11.29385401630396,-1,77,0.429936021566391,0,567.1000022888184, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:15:08,48.10176897144609,11.29384216729534,-1,77,0.6593198776245117,0,567.1000022888184, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:15:09,48.1017671133106,11.29382926564027,-1,77,0.6593198776245117,0,567.1000022888184, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:15:10,48.101766752891,11.29381771863797,-1,77,0.6849498152732849,0,567.1000022888184, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:15:11,48.10176614956328,11.29381347191964,-1,81,0.6547947525978088,0,567.1000022888184, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:15:12,48.10176293983321,11.29380152231874,-1,81,0.9082995653152466,0,567.1000022888184, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:15:13,48.10176170340619,11.29379409620472,-1,81,0.6547947525978088,0,567.1000022888184, 0, 70, 2.57, 1018, 23.97 
2021/09/08 14:15:14,48.10175897483941,11.29379806834681,-1,81,0.7191969156265259,0,567.1000022888184, 0, 70, 2.57, 1018, 23.97 
